Event 0 (freq: 30):  [865, 866]
Event 1 (freq: 374):  [867, 868]
Event 2 (freq: 34):  [1091]
Event 3 (freq: 28):  [1068, 1069]
Event 4 (freq: 49):  [1060]
Event 5 (freq: 24):  [1052]
Event 6 (freq: 107):  [1050]
Event 7 (freq: 26):  [1017]
Event 8 (freq: 2):  [1017]
Event 9 (freq: 54):  [1003]
Event 10 (freq: 60):  [1017, 1018]
Event 11 (freq: 2):  [946]
Event 12 (freq: 5):  [945]
Event 13 (freq: 12):  [943]
Event 14 (freq: 56):  [934]
Event 15 (freq: 50):  [933]
Event 16 (freq: 29):  [925]
Event 17 (freq: 49):  [911]
Event 18 (freq: 113):  [534, 899, 900, 901, 902]
Event 19 (freq: 1):  [892]
Event 20 (freq: 2):  [891]
Event 21 (freq: 1):  [888]
Event 22 (freq: 102):  [883]
Event 23 (freq: 1):  [884]
Event 24 (freq: 6):  [884]
Event 25 (freq: 12):  [880, 881]
Event 26 (freq: 17):  [879]
Event 27 (freq: 17):  [878]
Event 28 (freq: 89):  [876, 877]
Event 29 (freq: 7):  [877]
Event 30 (freq: 5):  [877]
Event 31 (freq: 22):  [877]
Event 32 (freq: 1):  [877]
Event 33 (freq: 1):  [878]
Event 34 (freq: 1):  [877]
Event 35 (freq: 6):  [876]
Event 36 (freq: 6):  [875]
Event 37 (freq: 1):  [875]
Event 38 (freq: 18):  [874]
Event 39 (freq: 179):  [864, 865]
Event 40 (freq: 6):  [864]
Event 41 (freq: 125):  [866, 867]
Event 42 (freq: 36):  [872, 873]
Event 43 (freq: 10):  [873, 874]
Event 44 (freq: 305):  [871, 872]
Event 45 (freq: 478):  [870, 871]
Event 46 (freq: 3):  [869]
Event 47 (freq: 802):  [869, 870]
Event 48 (freq: 614):  [868, 869]
Event 49 (freq: 1):  [977]
Event 50 (freq: 1):  [880]
Event 51 (freq: 1):  [890]

Event 0 (freq: 1):  [233]
Event 1 (freq: 1):  [297]
Event 2 (freq: 1):  [38]
Event 3 (freq: 1):  [80]
Event 4 (freq: 1):  [604]
Event 5 (freq: 15):  [407]
Event 6 (freq: 4):  [493]
Event 7 (freq: 19):  [493]
Event 8 (freq: 66):  [499]
Event 9 (freq: 5):  [701]
Event 10 (freq: 19):  [855]
Event 11 (freq: 8):  [856]
Event 12 (freq: 1):  [681]
Event 13 (freq: 1):  [963]
Event 14 (freq: 8):  [87]
Event 15 (freq: 60):  [556, 557]
Event 16 (freq: 52):  [121]
Event 17 (freq: 47):  [600, 601]
Event 18 (freq: 42):  [303]
Event 19 (freq: 6):  [607]
Event 20 (freq: 11):  [55, 110]
Event 21 (freq: 5):  [95]
Event 22 (freq: 4):  [55]
Event 23 (freq: 2):  [477]
Event 24 (freq: 9):  [710]
Event 25 (freq: 86):  [451]
Event 26 (freq: 3):  [108]
Event 27 (freq: 109):  [240]
Event 28 (freq: 39):  [262]
Event 29 (freq: 57):  [272]
Event 30 (freq: 55):  [328]
Event 31 (freq: 56):  [353]
Event 32 (freq: 1):  [258]
Event 33 (freq: 7):  [276]
Event 34 (freq: 3):  [307]
Event 35 (freq: 4):  [311]
Event 36 (freq: 2):  [410]
Event 37 (freq: 4):  [489]
Event 38 (freq: 4):  [480]
Event 39 (freq: 6):  [627]
Event 40 (freq: 4):  [654]
Event 41 (freq: 1):  [696]
Event 42 (freq: 1):  [720]
Event 43 (freq: 2):  [759]
Event 44 (freq: 2):  [786]
Event 45 (freq: 1):  [807]
Event 46 (freq: 2):  [938]
Event 47 (freq: 1):  [52]
Event 48 (freq: 1):  [122]
Event 49 (freq: 2):  [136]
Event 50 (freq: 1):  [297]
Event 51 (freq: 3):  [378]
Event 52 (freq: 2):  [178]
Event 53 (freq: 10):  [319]
Event 54 (freq: 9):  [607, 608]
Event 55 (freq: 98):  [656]
Event 56 (freq: 50):  [388]
Event 57 (freq: 73):  [472, 473]
Event 58 (freq: 28):  [486]
Event 59 (freq: 35):  [492]
Event 60 (freq: 36):  [678]
Event 61 (freq: 58):  [752]
Event 62 (freq: 58):  [766]
Event 63 (freq: 1):  [681]
Event 64 (freq: 1):  [284]
Event 65 (freq: 2):  [497]
Event 66 (freq: 6):  [80]
Event 67 (freq: 18):  [556]
Event 68 (freq: 12):  [552]
Event 69 (freq: 2):  [769]
Event 70 (freq: 54):  [433]
Event 71 (freq: 1):  [846]
Event 72 (freq: 1):  [859]
Event 73 (freq: 7):  [254]
Event 74 (freq: 63):  [111]
Event 75 (freq: 48):  [477]
Event 76 (freq: 1):  [626]
Event 77 (freq: 77):  [374]
Event 78 (freq: 15):  [284]

Event 0 (freq: 139):  [124, 125]
Event 1 (freq: 291):  [15, 23, 24]
Event 2 (freq: 80):  [596, 597, 598]
Event 3 (freq: 39):  [61, 62, 63, 64, 65, 66]
Event 4 (freq: 200):  [424, 425, 426, 427, 428, 429]
Event 5 (freq: 62):  [788, 789, 791, 792, 793]
Event 6 (freq: 15):  [17, 18]
Event 7 (freq: 42):  [156, 157]
Event 8 (freq: 3):  [891, 892]
Event 9 (freq: 150):  [229, 230, 231, 232, 233, 234, 248]
Event 10 (freq: 475):  [593, 594, 595, 596, 597, 598]
Event 11 (freq: 371):  [957, 958, 959, 960]
Event 12 (freq: 18):  [767]
Event 13 (freq: 98):  [233, 234]
Event 14 (freq: 110):  [960, 961, 962]
Event 15 (freq: 35):  [112, 114]
Event 16 (freq: 45):  [1039, 1046]
Event 17 (freq: 14):  [254]
